destination,username,stars,original_text,cleanliness_sentiment,cleanliness_confidence,facilities_sentiment,facilities_confidence,price_sentiment,price_confidence,service_sentiment,service_confidence,accessibility_sentiment,accessibility_confidence,scenery_sentiment,scenery_confidence,atmosphere_sentiment,atmosphere_confidence,food_sentiment,food_confidence,safety_sentiment,safety_confidence,crowd_sentiment,crowd_confidence,photo_spot_sentiment,photo_spot_confidence,historical_value_sentiment,historical_value_confidence,aspects_detected,aspect_sentiments,num_aspects
Pantai Kesirat,Coach Ali Shah,5,"Sea cliff. Langsung mengarah ke Samudra Hindia. Recommended spot to see sunset (kalo cerah). Tapi harus hati-hati karena tebingnya curam (almost 90° di beberapa sisi) dan contains batu-batu karang tajam. So watch your steps. Recommended buat camping? Belom nyoba. Beberapa orang terlihat gelar tenda. Maybe good to set a tent here. Kapan2 nyoba. Dari jalan raya, Jalan ke tempat parkir beraspal tapi kecil. Dua mobil papasan harus ekstra hati-hati. Kalo malam ga ada penerangan. Harus jalan kaki dari",,,positive,0.752,,,,,positive,0.752,positive,0.752,positive,0.752,,,positive,0.752,positive,0.752,positive,0.752,,,"facilities, accessibility, scenery, atmosphere, safety, crowd, photo_spot",facilities:positive; accessibility:positive; scenery:positive; atmosphere:positive; safety:positive; crowd:positive; photo_spot:positive,7
Pantai Parangtritis,Istu Pardikajayadi,5,"Pantai ter-Legend di Provinsi Yogyakarta dan tetap selalu ramai daridulu hingga hari ini. Saya terakhir kali kesini pada tahun 2006 yang lalu dan setelah 19 tahun berlalu, nyoba maen kesini kembali, sambil mengenang masa2 lalu. Hehe😁 Menurut saya keindahan alamnya tetap sama. Paling suka melihat gulungan ombak yang berjalan hingga ke bibir pantai. Terlebih view loss banget mulai ujung kiri hingga kanan.🤩 Tetapi view agak kurang menarik juga karena banyaknya tenda payung2 di dekat bibir pantai. M",,,,,negative,0.394,,,negative,0.394,negative,0.394,negative,0.394,negative,0.394,negative,0.394,negative,0.394,,,,,"price, accessibility, scenery, atmosphere, food, safety, crowd",price:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative; crowd:negative,7
Candi Prambanan,Rofingatun Nikmah,5,"Candi Prambanan benar-benar megah dan menakjubkan! Kompleks candinya luas, bersih, dan terawat dengan sangat baik. Setiap sudutnya punya nilai sejarah dan arsitektur yang luar biasa indah. Disarankan datang pagi hari supaya tidak terlalu panas saat berkeliling, atau sore hari sekalian biar bisa menikmati suasana matahari terbenam yang cantik di balik candi. Banyak spot foto menarik, juga ada taman dan area jalan kaki yang nyaman. Wajib dikunjungi kalau ke Yogyakarta atau sekitarnya!",positive,0.764,,,,,,,positive,0.764,positive,0.764,positive,0.764,positive,0.764,positive,0.764,,,positive,0.764,positive,0.764,"cleanliness, accessibility, scenery, atmosphere, food, safety, photo_spot, historical_value",cleanliness:positive; accessibility:positive; scenery:positive; atmosphere:positive; food:positive; safety:positive; photo_spot:positive; historical_value:positive,8
Pantai Sadeng,Hapti Ka,5,"Pantai Sadeng merupakan salah satu pantai dengan dermaga di Gurung Kidul dengan pemandangan alam yang cantik, lokasinya pun mudah sekali dijangkau, jalan menuju pantai sudah bagus dan beraspal. Waktu kesini weekdays relatif sangat sepi pengunjung. Htm dan parkir free, kami tidak dipungut biaya apapun. Selain ada kapal dan perahu nelayan disini juga ada kapal patroli polisi.",,,negative,0.577,,,,,negative,0.577,negative,0.577,negative,0.577,,,,,negative,0.577,,,,,"facilities, accessibility, scenery, atmosphere, crowd",facilities:negative; accessibility:negative; scenery:negative; atmosphere:negative; crowd:negative,5
Agrowisata Bhumi Merapi,Etha Aliyanda,4,"Lokasi mudah ditemukan, parkir luas dan tiket masuk 35 rb per orang. Hmm lebih cocok untuk keluarga dengan anak-anak kecil sih karena fokusnya minizoo sama tempat foto² gitu 😅😅 Suasana cukup teduh yaa masih banyak pepohonan, trus bersih jg saya lihat hampir gak ada sampah berserakan. Hewan-hewannya jg cukup terawat. Ada restoran juga di dalam tp gak nyobain. So far yaa oke sih buat pengalaman main daerah kaliurang atas",negative,0.712,negative,0.712,negative,0.712,,,negative,0.712,,,negative,0.712,negative,0.712,negative,0.712,,,negative,0.712,,,"cleanliness, facilities, price, accessibility, atmosphere, food, safety, photo_spot",cleanliness:negative; facilities:negative; price:negative; accessibility:negative; atmosphere:negative; food:negative; safety:negative; photo_spot:negative,8
Prawirotaman,ANDI TOUR,5,Tempat di mana anda akan banyak berjumpa dengan wisatawan mancanegara / bule.,negative,0.519,negative,0.519,,,negative,0.519,negative,0.519,negative,0.519,,,negative,0.519,negative,0.519,negative,0.519,,,negative,0.519,"cleanliness, facilities, service, accessibility, scenery, food, safety, crowd, historical_value",cleanliness:negative; facilities:negative; service:negative; accessibility:negative; scenery:negative; food:negative; safety:negative; crowd:negative; historical_value:negative,9
Situs Warungboto,Icha,5,"Bagus buat foto-foto. Ga terlalu luas, jadi ga capek jalan, tapi pindah tempat dikit dah langsung bisa dijadiin spot foto yg bagus. Sepi, ga terlalu rame, ga bikin fotonya bocor. Biaya parkir 3k (enakan pake motor, soalnya parkirnya kecil, kurangtau kalo mobil bakal parkir dimana). Biaya masuknya gaada, cuma disuruh masukin ke kotak seikhlasnya gitu aja",,,negative,0.476,,,,,negative,0.476,negative,0.476,negative,0.476,negative,0.476,,,negative,0.476,negative,0.476,,,"facilities, accessibility, scenery, atmosphere, food, crowd, photo_spot",facilities:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative; crowd:negative; photo_spot:negative,7
Pantai Sadeng,rahmat saleh,4,"Pantai dengan pemandangan alam yg cukup bagus. Banyak kapal-kapal nelayan bersandar yg baru pulang dari melaut,sehingga menjadi daya tarik tersendiri. Bagi yg suka berburu ikan laut segar bisa beli disini & bisa dimasak di warung warga,harganyapun cukup bersahabat. Cocok untuk liburan keluarga.",,,,,negative,0.564,,,,,negative,0.564,,,negative,0.564,,,,,,,,,"price, scenery, food",price:negative; scenery:negative; food:negative,3
Pantai Ngobaran,Anggi Bagol,5,"Alhamdulillah bisa kesini, tempatnya bagus bikin kangen penginmain lagi sama istri..",,,,,,,,,,,positive,0.7,,,,,,,,,,,,,scenery,scenery:positive,1
Pantai Sundak,yashinta meyla,5,"datang kesini skitar jam 10.00,belum terlalu ramai ombak lumayan besar tapi masih bisa untuk dipakai main air tersedia gazebo (30k) yg bisa disewa di sepanjang pantai ada mushola yg bersih dan cukup besar kamar mandi jg banyak tersedia",negative,0.436,negative,0.436,,,,,,,,,negative,0.436,,,negative,0.436,negative,0.436,,,,,"cleanliness, facilities, atmosphere, safety, crowd",cleanliness:negative; facilities:negative; atmosphere:negative; safety:negative; crowd:negative,5
Pantai Kesirat,Joko Purwantoro,5,"Bagus pantainya berada di atas tebing, aman buat camping dan sangat rekomen buat camping, viewnya laut lepas josss.... Inpo perjalanan fan suasanannya bisa cek di youtube Ojo Lali Dolan...",,,,,,,,,positive,0.396,positive,0.396,positive,0.396,,,positive,0.396,,,,,,,"accessibility, scenery, atmosphere, safety",accessibility:positive; scenery:positive; atmosphere:positive; safety:positive,4
Pantai Sundak,Atiqah N F,5,"Pernah ke sini tahun 2017 dan ke sini lagi bertahun-tahun kemudian, 9 September 2025. Feels like, menyusuri masa lalu. Dulu ke sini mbolang berdua motoran dari Solo, tahun ini bersama teman-teman kerja dan suami plus anak. 🥹 emang waktu tuh berlalunya cepeeeet banget! Tapi, pantainya masih gini-gini aja (in a good way). Weekday sepi itungannya, cuman ada beberapa pengunjung lain. Tapi ya jadi bisa menikmati dan foto-foto dengan background beneran pantai aka pemandangan, bukan manusia-manusia lai",,,,,,,,,,,positive,0.918,positive,0.918,,,,,positive,0.918,positive,0.918,,,"scenery, atmosphere, crowd, photo_spot",scenery:positive; atmosphere:positive; crowd:positive; photo_spot:positive,4
Situs Warungboto,Ami Nur R,5,Situs peninggalan Kerajaan Mataram yang masih berada di wilayah Kotamadya Yogyakarta. Cocok untuk napak tilas kehidupan kerajaan di masa lalu. Situs Warungboto merupakan salah satu tempat pemandian bagi Raja dan keluarganya. Selain untuk belajar sejarah juga dapat digunakan untuk tempat syuting atau fotografi dengan background bangunan bersejarah. Perawatan sudah sangat baik dan semoga dipertahankan,,,,,,,,,,,,,,,negative,0.399,,,,,negative,0.399,negative,0.399,"food, photo_spot, historical_value",food:negative; photo_spot:negative; historical_value:negative,3
Pantai Kukup,Indah lestari Ningsih,5,"Pantai dg pasir putihnya, ombak tdk begitu besar banyak bebatuan karang. Pantainya bersih. Sepanjang jalan masuk kanan kiri berjajar pedagang, yg paling suka dg hasil laut,, cumi, idang , teri atau ikan jambal basah dg goreng tepungnya.",negative,0.622,,,,,,,negative,0.622,,,,,,,negative,0.622,,,,,,,"cleanliness, accessibility, safety",cleanliness:negative; accessibility:negative; safety:negative,3
Pantai Drini,Hayu Budiningsih,3,"Baru disini menemui sebagian besar bibir pantai sudah dikomersilkan mau naik bukit harus bayar juga.Dapat penginapan yg apa adanya, diharga 350 + 100 utk tmbhn bed hanya Dapet lgsg view laut. Baru kali ini Mau arah jalan pulang macet gara2 bis mau parkir tapi tempat parkir sudah terbatas. Cari pantai yang lain saja. Masih banyak pilihan lainnya.",,,negative,0.613,negative,0.613,,,negative,0.613,negative,0.613,,,,,,,,,,,,,"facilities, price, accessibility, scenery",facilities:negative; price:negative; accessibility:negative; scenery:negative,4
Bukit Bintang,SATRIO BUDIMAN,5,"Selalu jadi tempat favorit sama istri, suasana sama pemandangannya the best emang, harga makanannya masih worth it lah, cuma harga parkirannya setelah saya liat review banyak yg keberatan, emang lumayan sih 5k juga untuk parkir motor",,,positive,0.989,positive,0.989,,,positive,0.989,positive,0.989,positive,0.989,positive,0.989,,,,,,,,,"facilities, price, accessibility, scenery, atmosphere, food",facilities:positive; price:positive; accessibility:positive; scenery:positive; atmosphere:positive; food:positive,6
Agrowisata Bhumi Merapi,Cleo Cleo,4,"Kami mengunjungi Agro Bumi Merapi di hari Minggu. Namun pengunjung tidak terlalu ramai. Pembelian tiket langsung ditempat, mudah sekali. Karna tujuan kami untuk foto2 jadi kami lebih banyak berada di lokasi spot foto. Lokasi spot foto nya cukup bagus dan terawat. Jika ada jasa foto disana mungkin bisa membantu juga.",negative,0.59,,,negative,0.59,,,,,negative,0.59,negative,0.59,,,,,negative,0.59,negative,0.59,,,"cleanliness, price, scenery, atmosphere, crowd, photo_spot",cleanliness:negative; price:negative; scenery:negative; atmosphere:negative; crowd:negative; photo_spot:negative,6
Pantai Slili,Abda Safitri,1,"Pantai nya bagus sih, tapi yg bkin gak nyaman itu penyewaan tempat duduk/gazebo ditarif 30/35 buat 1 jam. Dan ketika numpang duduk di gazebo kosong langsung di samperin sm ibu2 trs ditnya mau sewa apa enggak, kalau enggak jgn duduk digazebo tersebut. Parah bgt sih. Mengecewakan 🥴😌 …",,,negative,0.715,,,,,,,negative,0.715,negative,0.715,,,negative,0.715,,,,,,,"facilities, scenery, atmosphere, safety",facilities:negative; scenery:negative; atmosphere:negative; safety:negative,4
Pantai Kukup,wresti anggraini,5,"Pantainya cantik banget, ada penjaga pantainya juga karena ombaknya lumayan gede,. Trus bisa jalan ke Pantai Mesra juga, sering di sebut Tanah Lot nya gunung kidul karena batu karang yang ini mirip tanah lot yang di bali, bedanya ini dikasih jembatan 😆 Banyak tukang jualan seafood goreng,. Kesukaankuu.. Banyak warung, mushola dan toilet juga, Tempat parkir luas, jarak jalan dr tempat parkir ke pantai lumayan lah ya 150-200 meter,.",,,negative,0.824,,,,,negative,0.824,negative,0.824,,,negative,0.824,negative,0.824,,,,,,,"facilities, accessibility, scenery, food, safety",facilities:negative; accessibility:negative; scenery:negative; food:negative; safety:negative,5
Pantai Baron,Marjana Putu,5,"Pantai nya bersih, ombaknya keras sekali.",negative,0.531,,,,,,,,,,,,,,,negative,0.531,,,,,,,"cleanliness, safety",cleanliness:negative; safety:negative,2
Prawirotaman,My_ Oemy,4,cocoknya buat jalan2 sore-malam🥰 …,,,,,,,,,negative,0.928,,,,,,,,,,,,,,,accessibility,accessibility:negative,1
Pantai Indrayanti,KANG AJIF,5,"Pantainya indah, pasirnya putih dan ada bukit di sebelahnya Harga tiket masuk Pantai Pulang Sawal di Gunungkidul adalah Rp15.000 per orang. Selain itu, ada biaya parkir kendaraan. Harga tiket masuk dan parkir Tiket masuk: Rp15.000 per orang Biaya parkir: Rp3.000–Rp5.000 untuk kendaraan roda dua, Rp15.000 untuk kendaraan roda empat Denda membuang sampah sembarangan: Rp10.000 Jam operasional Pantai Pulang Sawal buka setiap hari, mulai pukul 07.00–18.00 WIB Pada akhir pekan atau libur nasional, pan",negative,0.459,negative,0.459,negative,0.459,,,negative,0.459,negative,0.459,negative,0.459,,,,,negative,0.459,,,,,"cleanliness, facilities, price, accessibility, scenery, atmosphere, crowd",cleanliness:negative; facilities:negative; price:negative; accessibility:negative; scenery:negative; atmosphere:negative; crowd:negative,7
Alun-alun Kidul,Bangkit dari Kuburs,5,"selalu menyenangkan liburan di Jogja, dan mustahil dilewatkan alun alun kidul, gowes mobil, tutup mata jalan ke pohon, kulineran, malah ketemu penjual cake yang orang Bandung juga ... seru... waktu enak berkunjung sehabis magrib sih menurutku",,,,,,,,,negative,0.942,,,,,negative,0.942,,,,,,,,,"accessibility, food",accessibility:negative; food:negative,2
Pantai Sadeng,Mr diQ's,5,"Pertama kali kesini untuk cari ikan buat oleh oleh Tempatnya bagus dengan orang orang yang ramah, Banyak kapal nelayan memanjakan mata bagus buat spot foto Semangat untuk penduduk yang bekerja sebagai nelayan Banyak jenis ikan yang dijual di tempat pelelangan ikan dengan harga yang terjangkau Tim sar juga selalu ready di lokasi untuk menjaga keamanan area lokasi Terimakasih atas keramahan nya Salam diQ's channel",,,,,negative,0.459,negative,0.459,,,negative,0.459,,,,,negative,0.459,,,negative,0.459,,,"price, service, scenery, safety, photo_spot",price:negative; service:negative; scenery:negative; safety:negative; photo_spot:negative,5
Pantai Baru,Faisal Akhmad,5,"Dari pusat kota jogja, kurang lebih 1 jam, dgn semakin padatnya jogja dan banyaknya lampu merah, selain memang jarak yg jg jauh. Cocok untuk yg ingin wisata pantai, tapi tidak suka panas.Banyak pohon dipinggir pantai membuat lingkungan sejuk. Cocok jg sebagai alternatif ""vitamin sea"", tapi gak suka dgn jalan yg berliku naik turun seperti pantai daerah gunung kidul, karena disini jalanan landai. Tiket parkir 5rb per 3 juni 2023. Masuk gerbang akan disambut dengan patung ikan dan macan. Pantai den",,,negative,0.48,negative,0.48,,,negative,0.48,,,negative,0.48,negative,0.48,negative,0.48,,,,,,,"facilities, price, accessibility, atmosphere, food, safety",facilities:negative; price:negative; accessibility:negative; atmosphere:negative; food:negative; safety:negative,6
Pantai Drini,Khoirul Anam,5,"Waktu terbaik untuk ke pantai ada sebelum jam 8 pagi, atau sore hari. Kalo siang rame banget udah kayak pasar banyak payung berjejer2. Tiket masuk Rp 15000 per orang, sewa kano + payung + tiker Rp 50000, sewa payung + tiker Rp 30000, trip perjalanan 3-5 destinasi pantai sekitarnya 300rb-500rb naik jeep, semua itu sepuasnya, kamar mandi bilas buanyak sekali 5000 saja",,,negative,0.663,negative,0.663,,,negative,0.663,,,,,,,,,,,,,,,"facilities, price, accessibility",facilities:negative; price:negative; accessibility:negative,3
Pantai Krakal,Donny Wisnu W,5,"Berapa kali ke pantai ini tiap tahun pasti ada kenangan yg berbeda² rasanya , dulu saat jomblo, sampai punya istri hingga punya 3 anak semoga Allah berikan keberkahan bagi umur kita semua",negative,0.824,negative,0.824,negative,0.824,negative,0.824,negative,0.824,negative,0.824,negative,0.824,,,negative,0.824,negative,0.824,,,negative,0.824,"cleanliness, facilities, price, service, accessibility, scenery, atmosphere, safety, crowd, historical_value",cleanliness:negative; facilities:negative; price:negative; service:negative; accessibility:negative; scenery:negative; atmosphere:negative; safety:negative; crowd:negative; historical_value:negative,10
Pantai Baru,Aulia Rachma Tunisa,5,"Salah satu tujuan wisata di kawasan pantai selatan, banyak warung yang menyediakan masakan seafood dan es kelapa muda",,,,,,,,,,,,,,,negative,0.514,,,,,,,,,food,food:negative,1
Pantai Sadranan,hajaralmaas,5,"Masyaa Allah pantai bersih dan baguuus, sebagaimana pantai selatan lainnya. Pasir putih, ombak tidak terlalu besar. Bisa menyewa kano dengan harga 100.000/ 2 jam. Atau menyewa snorkling ala-ala untuk melihat keindahan batu karang di tepian laut. Sayangnya tidak ada tempat berteduh yg gratis, semua amben atau gubuk berbayar 30.000 sekali pakai. Kecuali kalau mau pesan makanan di warung, gubuknya free. Untuk makanan dan minuman banyak tersedia dengan harga yg masih terjangkau. Alhamdulillah anak h",positive,0.734,,,positive,0.734,,,,,positive,0.734,,,positive,0.734,positive,0.734,,,,,,,"cleanliness, price, scenery, food, safety",cleanliness:positive; price:positive; scenery:positive; food:positive; safety:positive,5
Malioboro,missari,5,"Jalan yang selalu ramai pagi, siang, sore dan malam. Tempat nya sangat crowded, full pengunjung dan full hiburan. Ada live music dari band2 indi yang keren2 tinggal pilih, mau yang modern atau tradisional semua nya ada. Pusat untuk beli oleh-oleh, baju, makanan, mainan, gantungan kunci, pokoknya lengkap semua ada dengan penawaran yang sangat menarik. Jarak dengan tempat parkit lumayan jauh, jika tidak ingin capek jalan kaki bisa naik becak atau delman.",,,,,,,,,negative,0.754,,,negative,0.754,negative,0.754,,,negative,0.754,,,,,"accessibility, atmosphere, food, crowd",accessibility:negative; atmosphere:negative; food:negative; crowd:negative,4
Pantai Depok,Wahyu Isa,5,Pantai di daerah Bantul deket Parangtritis dengan view sunset yg indah di sore hari dan banyak resto seafood serta pasar ikan segar yg langsung dr nelayan setempat. Pantai dengan ombak yg bersahabat cocok untuk liburan bersama keluarga. Tiket HTM : 10.000 per orang Parkir mobil : 7000 Mandi: 5000,,,positive,0.435,positive,0.435,,,positive,0.435,positive,0.435,,,positive,0.435,positive,0.435,,,,,,,"facilities, price, accessibility, scenery, food, safety",facilities:positive; price:positive; accessibility:positive; scenery:positive; food:positive; safety:positive,6
Pantai Kesirat,Bee_ky27 Bee,5,"pantai keren banget banyak batu karangnya dan viewnya ok banget ada yg seperti angel billabong. semua bisa diexplor setiap sudut sampai ke watu bolong, asal pakai sepatu dan celana panjang.kerena jalanannya ada batu karang yg tajam dan pohonnya yg hijau tapi berduri....😂 dan disini banyak yang memancing jg. klo ada yg hobby mancing silahkan bawa pancingannya.. bila perlu bawa tenda buat ngecamp... masuk ketempat ini tidak sulit .jalan sdh diaspal tapi cuma muat 1jalur...masuk kawasan ini pertama",positive,0.536,positive,0.536,positive,0.536,positive,0.536,positive,0.536,positive,0.536,,,positive,0.536,,,,,,,,,"cleanliness, facilities, price, service, accessibility, scenery, food",cleanliness:positive; facilities:positive; price:positive; service:positive; accessibility:positive; scenery:positive; food:positive,7
Pantai Sadeng,Ingga Wulandari,5,"Pantai untuk pelabuhan kapal nelayan, harga ikan sangat murah dibanding ikan di kota, kalo beli ikan disarankan bawa ember tutup dari rumah agar selama perjalanan tidak bau amis di mobil",,,,,negative,0.876,,,negative,0.876,,,,,,,,,,,,,,,"price, accessibility",price:negative; accessibility:negative,2
Pantai Sadranan,Ayu Danayu,5,"Pantai sadranan sangat indah dengan tersedia banyak gazebo, persewaan untuk snorkeling...pantainya bersih, batu karang yang terlihat indah. di sini juga banyak menjual sauvenir...oleh² berbagai macam seafood atau ikan juga tersedia....tak pernah menyesal jika bermain di sini",negative,0.582,negative,0.582,,,,,,,negative,0.582,,,negative,0.582,,,,,,,,,"cleanliness, facilities, scenery, food",cleanliness:negative; facilities:negative; scenery:negative; food:negative,4
Bukit Bintang,veronika santi,5,"kalau malam ramai.. sengaja datang pagi2, tempatnya sepi, adem, dan meja2 nya masih berantakan bekas orang makan malamnya belum di beresin semua... tapi tempatnya sangat nyaman..👍👍",,,,,,,,,,,,,positive,0.652,positive,0.652,positive,0.652,positive,0.652,,,,,"atmosphere, food, safety, crowd",atmosphere:positive; food:positive; safety:positive; crowd:positive,4
Pantai Slili,PH Pancing,5,"Kesana pas pagi sdikit mendung, tp siangnya mendung hilang. Rekomended buat kluarga,ombak relatif aman",,,,,,,,,,,,,,,,,positive,0.389,,,,,,,safety,safety:positive,1
Pantai Wediombo,Timothy Billy Palapa,3,"seperti pantai jogja pada umumnya yang membuat kami heran, atau mungkin indonesia secara umum? kami menggelar tikar sendiri lalu mendapatkan charges 10 ribu rupiah. saya tidak paham, adakah yang bisa kasih paham? Alasannya karena kami datang jam 9 malam pulang jam 1 malam. Namun Ya Sudah Gapapa",negative,0.696,,,negative,0.696,negative,0.696,negative,0.696,negative,0.696,,,negative,0.696,negative,0.696,negative,0.696,,,,,"cleanliness, price, service, accessibility, scenery, food, safety, crowd",cleanliness:negative; price:negative; service:negative; accessibility:negative; scenery:negative; food:negative; safety:negative; crowd:negative,8
Pantai Baron,TiQ TiQ,5,"Pantai yg paling asik buat cebur2an, sampe guling2an.. 😁 Dan Enaknya klo disini tuh bisa beli udang & cumi.. udah digoreng.. tinggal santappp.. mantabhhh Dan cuma disini yg bisa dpt pengalaman naik perahu buat nyebrang ke pantainya.. per org bayar ceban PP 😉",,,,,negative,0.981,,,,,,,,,negative,0.981,negative,0.981,,,,,,,"price, food, safety",price:negative; food:negative; safety:negative,3
Pantai Wediombo,Much Anwarrudin,4,"Pantainya indah, banyak bebatuan, untuk mandi anak2 sangat aman walaupun ada plang dilarang mandi dilaut. Buat yg dr arah Wonogiri mending pakai gmap jalan mobil, kalo pake motor lbih cpt tp lwatnya nrabas sawah2 perkebunan.. Sewa tikar 10rb, menu makanan dah ada dftar harganya.. Recommend",,,,,positive,0.61,,,positive,0.61,positive,0.61,,,positive,0.61,positive,0.61,,,,,,,"price, accessibility, scenery, food, safety",price:positive; accessibility:positive; scenery:positive; food:positive; safety:positive,5
Pantai Drini,Oliver Saunders,5,"salah satu pantai terbaik yang aku kunjungi, tempatnya bersih, dan pengelolaannya baik. pemandangannya bagus bangetttt, kebetulan kemarin kesana pas ada pelangi, sangat sangat mendukung sekali suasananya. apalagi ditemani pasangan, bahagia sekali rasanyaaa",negative,0.764,,,,,,,,,negative,0.764,negative,0.764,,,,,,,,,,,"cleanliness, scenery, atmosphere",cleanliness:negative; scenery:negative; atmosphere:negative,3
Pantai Kukup,Agassi Gilang,5,"Tipe Pantai Laut Selatan yang ombaknya besar tapi tidak mengalahkan keindahannya. Ramah untuk pengunjung luar daerah. Banyak lokasi warung yang ada list harganya, kemudian harga oleh-oleh khas seperti udang goreng, cumi, minid crab dll cukup murah dan fresh digoreng saat itu juga. Pemandangan terbaik disini bisa dilihat dari pondok di atas bukit",,,,,negative,0.513,negative,0.513,,,negative,0.513,,,negative,0.513,negative,0.513,negative,0.513,,,,,"price, service, scenery, food, safety, crowd",price:negative; service:negative; scenery:negative; food:negative; safety:negative; crowd:negative,6
Pantai Ngobaran,Sulis Tyowati,5,"Pantai yg cantik, ada pure untuk beribadah umat hindu. Bisa untuk foto2 dng keindahan ala2 Bali. Sewa kostum dng biaya 20 rb dan ada fotografer yg bisà share soft pic @5 rb. Utk spot tertentu berbayar",,,,,neutral,0.571,,,,,neutral,0.571,,,,,,,,,neutral,0.571,,,"price, scenery, photo_spot",price:neutral; scenery:neutral; photo_spot:neutral,3
Gumuk Pasir Parangkusumo,Heni Setyawati,5,"Seru banget Jauh² dari Cirebon ke Yogyakarta Perjalanan panjangnya terbayar semua lelahnya sama wisata Jeep Adventure Gumuk Pasir Parangkusumo Utk naik jeep nya memang harus ngantri, walaupun banyak, tapi banyak juga pengunjungnya saat itu Dibawa ke pantai full adrenalin racenya, bener² kaya naek mobil trail Masuk hutan, naik turun gundukan pasir, lewat bibir pantai wahhhh seru banget ngga boong Abang² drivernya pro semua jd ngga usah takut jatuh atau gimana² ya Mereka juga ramah² banget The rea",,,,,negative,0.556,negative,0.556,negative,0.556,,,,,,,,,negative,0.556,,,,,"price, service, accessibility, crowd",price:negative; service:negative; accessibility:negative; crowd:negative,4
Bukit Bintang,Alisa Nur Pratiwi,5,"Salah satu tempat yang indah yang cocok untuk di kunjungi apabila melakukan perjalanan menuju ataupun melalui Jogja pada malam hari. Di bukit bintang menyajikan pemandangan city light kota Jogja, untuk menikmati suasana malam hari. Di bukit bintang terdapat parkiran untuk bus mobil maupun motor (lahan pinggir jalan). Di sekitar bukit bintang terdapat pada penjual makanan seperti jagung bakar dan minuman seperti kopi, Milo dan aneka minuman lainnya. Di sekitar sana juga terdapat cafe untuk bersan",,,negative,0.546,,,,,negative,0.546,negative,0.546,negative,0.546,negative,0.546,,,,,,,,,"facilities, accessibility, scenery, atmosphere, food",facilities:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative,5
Pantai Slili,Dwi Sendi Priyono,4,"Tempatnya bagus banyak warung, namun pas ksini pantai masih kotor banyak sampah plastik",negative,0.739,,,,,,,,,negative,0.739,,,negative,0.739,,,,,,,,,"cleanliness, scenery, food",cleanliness:negative; scenery:negative; food:negative,3
Prawirotaman,diah armiyani,5,"Kalo orang banyak bilang ini tuh kayak kutenya bali gitu lah ya, banyak bgt bule² nongkrong disini. Kayak segang tuh isinya tempat nongkrong semua, dari mulai menu sarapan sampe cemilan semuanya ada.",negative,0.62,negative,0.62,,,negative,0.62,negative,0.62,negative,0.62,negative,0.62,negative,0.62,negative,0.62,negative,0.62,,,negative,0.62,"cleanliness, facilities, service, accessibility, scenery, atmosphere, food, safety, crowd, historical_value",cleanliness:negative; facilities:negative; service:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative; crowd:negative; historical_value:negative,10
Pantai Parangtritis,Rika Pratiwi,3,"kurang jujur emang si udah terkenal rame banget huhuu, jadi ga bebas, melipir ke air terjun pantai sebelahh, bagusss sepii, sama ortu kesinii b aja soalnya hampir tiap tahun kesini",,,,,,,,,,,negative,0.722,negative,0.722,,,,,negative,0.722,,,,,"scenery, atmosphere, crowd",scenery:negative; atmosphere:negative; crowd:negative,3
Pantai Nglambor,Anggita Devi,5,"Pantai bersih, harga bersahabat, gak getok2 harga. Kecil memang pantai, cocok bagi yang gak terlalu suka keramaian. parkir mobil -+ 700 meter dari pantai, anak2 semangat jalan. Memang pulang ketika sudah pada lelah naik ojek. Tapi Alhamdulillah murah hanya 5000 rupiah per ojek.",negative,0.581,negative,0.581,negative,0.581,,,negative,0.581,,,negative,0.581,,,,,negative,0.581,,,,,"cleanliness, facilities, price, accessibility, atmosphere, crowd",cleanliness:negative; facilities:negative; price:negative; accessibility:negative; atmosphere:negative; crowd:negative,6
Makam Raja-Raja Imogiri,Pudjo Basuki,5,"Minggu, 14 Juli 2024 Setelah selesai mengikuti pertemuan trah Suryobrangtan - Sri Sultan HB III di nDalem Bupati Puroloyo, dilanjutkan kesini untuk berziarah ke leluhur kami, Sri Sultan HB I (Sultan Agung Hanyokrokusumo), Sri Sultan HB III & KPH Suryobrongto. Kami juga ditemani Romo Pinten, Pengageng Pajimatan Imogiri yang kebetulan masih kerabat kami. Setelah berganti kostum yang memang diwajibkan untuk para peziarah, yaitu surjan dan jarik untuk kakung dan untuk putri berupa kemben dan jarik, ",,,,,positive,0.53,,,,,,,,,,,positive,0.53,,,,,positive,0.53,"price, safety, historical_value",price:positive; safety:positive; historical_value:positive,3
